'sample #','MLII','V1'
0,849,894
1,849,894
2,849,894
3,849,894
4,849,894
5,849,894
6,849,894
7,852,894
8,854,894
9,856,891
10,856,891
11,859,892
12,858,889
13,857,888
14,855,887
15,853,888
16,854,888
17,853,889
18,854,890
19,857,892
20,859,894
21,859,894
22,856,894
23,856,890
24,859,889
25,859,888
26,858,883
27,859,885
28,857,885
29,858,889
30,857,891
31,858,893
32,860,894
33,863,892
34,863,890
35,863,890
36,862,887
37,861,887
38,860,885
39,858,884
40,858,887
41,859,887
42,856,890
43,859,891
44,864,893
45,865,892
46,865,891
47,864,889
48,863,889
49,863,888
50,863,888
51,862,886
52,862,889
53,861,889
54,861,890
55,863,891
56,864,892
57,866,892
58,864,891
59,864,888
60,863,887
61,860,888
62,859,886
63,859,885
64,860,887
65,861,888
66,863,891
67,864,892
68,865,889
69,864,891
70,867,888
71,864,890
72,865,887
73,864,886
74,862,885
75,862,885
76,862,887
77,861,887
78,861,891
79,864,890
80,867,893
81,866,891
82,868,890
83,865,890
84,865,888
85,865,886
86,864,884
87,863,885
88,861,885
89,863,886
90,864,890
91,866,889
92,865,890
93,866,892
94,867,890
95,868,891
96,870,890
97,869,889
98,867,891
99,865,890
100,865,892
101,869,891
102,869,893
103,873,891
104,874,892
105,876,888
106,876,884
107,876,881
108,875,873
109,874,869
110,876,866
111,875,865
112,874,869
113,875,872
114,875,875
115,877,878
116,878,879
117,880,879
118,878,876
119,880,876
120,878,876
121,881,875
122,880,876
123,876,879
124,873,882
125,877,886
126,877,889
127,877,890
128,877,893
129,878,892
130,877,890
131,874,890
132,873,886
133,870,888
134,868,887
135,865,884
136,864,885
137,864,887
138,866,887
139,870,890
140,869,891
141,870,890
142,871,891
143,873,892
144,871,892
145,871,894
146,869,896
147,874,893
148,875,890
149,880,879
150,883,862
151,893,837
152,906,803
153,923,767
154,944,724
155,966,688
156,991,662
157,1014,649
158,1033,653
159,1047,675
160,1055,705
161,1063,739
162,1066,773
163,1077,794
164,1081,817
165,1083,834
166,1073,847
167,1060,860
168,1045,872
169,1027,881
170,1008,885
171,988,889
172,968,890
173,950,892
174,935,896
175,921,898
176,915,899
177,906,899
178,894,900
179,891,903
180,887,900
181,881,898
182,879,898
183,881,896
184,880,899
185,880,901
186,882,902
187,881,904
188,885,906
189,886,906
190,886,903
191,886,903
192,888,903
193,887,902
194,885,900
195,883,900
196,884,901
197,884,904
198,885,902
199,887,905
200,888,906
201,891,907
202,891,907
203,892,904
204,891,903
205,891,903
206,890,899
207,890,900
208,890,901
209,888,903
210,893,905
211,893,903
212,893,908
213,896,908
214,895,905
215,896,903
216,896,902
217,893,900
218,893,901
219,890,899
220,888,900
221,890,900
222,889,903
223,893,903
224,891,905
225,894,905
226,896,904
227,897,904
228,896,903
229,894,900
230,893,901
231,896,899
232,894,899
233,893,901
234,896,902
235,897,904
236,899,904
237,901,903
238,900,902
239,900,904
240,901,901
241,899,900
242,899,898
243,899,899
244,898,900
245,898,898
246,902,902
247,905,902
248,907,905
249,909,905
250,908,905
251,910,904
252,908,900
253,910,899
254,908,896
255,908,897
256,907,896
257,906,900
258,908,900
259,908,900
260,910,899
261,911,900
262,909,900
263,909,899
264,909,897
265,906,897
266,904,894
267,901,892
268,901,894
269,903,893
270,899,895
271,903,898
272,901,898
273,901,900
